Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Pseudomonas putida 53/5,0.56 ± 0.13,"nmol C2H4, 107 cfu h–1",0.056,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Pseudomonas putida AY548951,1523 ± 8.97 ,nmol C2H2/ h/vial,1523,nmol/tube/h,"Yasmin, S., Hafeez, F. Y., Schmid, M., & Hartmann, A. (2013). Plant-beneficial rhizobacteria for sustainable increased yield of cotton with reduced level of chemical fertilizers. Pak. J. Bot, 45(2), 655-662."
Pseudomonas putida B 29/2,0.47 ± 0.12,"nmol C2H4, 107 cfu h–1",0.047,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Pseudomonas putida KNUC 292 EU239202,73,nmol/mg/h,73,nmol/mg/h,"Cibichakravarthy, B., Preetha, R., Sundaram, S. P., Kumar, K., & Balachandar, D. (2012). Diazotrophic diversity in the rhizosphere of two exotic weed plants, Prosopis juliflora and Parthenium hysterophorus. World Journal of Microbiology and Biotechnology, 28, 605-613."
Pseudomonas putida M5TSA,0,nmoles ethylene CFU h−1,0,nmol/h/10*6cells,"Lopez, B. R., Bashan, Y., & Bacilio, M. (2011). Endophytic bacteria of Mammillaria fraileana, an endemic rock-colonizing cactus of the southern Sonoran Desert. Archives of microbiology, 193(7), 527-541."
Pseudomonas putida RC06,0.64 ± 0.09,"nmol C2H4, 107 cfu h–1",0.064,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Pseudomonas putida RC06,0.54±0.08,"nmol C2H4,107 cfu h–1",0.054,nmol/h/10*6cells,"Çakmakçı, R., Erat, M., Erdoğan, Ü., & Dönmez, M. F. (2007). The influence of plant growth–promoting rhizobacteria on growth and enzyme activities in wheat and spinach plants. Journal of Plant Nutrition and Soil Science, 170(2), 288-295."
Pseudomonas putida SENDO2,0,nmoles ethylene CFU h−1,0,nmol/h/10*6cells,"Lopez, B. R., Bashan, Y., & Bacilio, M. (2011). Endophytic bacteria of Mammillaria fraileana, an endemic rock-colonizing cactus of the southern Sonoran Desert. Archives of microbiology, 193(7), 527-541."
Pseudomonas putida strain DS8 ( JQ791183),10.09,"nmol Ethylene
mg Protein−1 hr−1",10.09,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Pseudomonas resinovorans,0.2±0.0,nmol C2H4 h−1 10−6 cells,0.2,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Pseudomonas silesiensis A3,26.55,nmol C2H4/(mL·h),26.55,nmol/mL/h,"Shi, Z., Guo, X., Lei, Z., Wang, Y., Yang, Z., Niu, J., & Liang, J. (2023). Screening of high-efficiency nitrogen-fixing bacteria from the traditional Chinese medicine plant Astragalus mongolicus and its effect on plant growth promotion and bacterial communities in the rhizosphere. BMC microbiology, 23(1), 292."
Pseudomonas simiae,58 ± 1,C2H4 nmol/mL·h,58 ,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Pseudomonas simiae,43,nM C2H4/vial/3 days,0.5972,nmol/tube/h,"Bostubayeva, M., Baimbetova, E., Makenova, M., Shumenova, N., Sarmanova, R., & Nauanova, A. (2023). Screening and evaluation of potential microbial bio-activators used in sewage sludge composting. Caspian Journal of Environmental Sciences, 21(3), 575-583."
Pseudomonas simiae OLi (AJ936933),66.92,nmol C2H4/(mg·h),66.92,nmol/mg/h,"Li, Q., Yang, X., Li, J., Li, M., Li, C., & Yao, T. (2023). In-depth characterization of phytase-producing plant growth promotion bacteria isolated in alpine grassland of Qinghai-Tibetan Plateau. Frontiers in Microbiology, 13, 1019383."
Pseudomonas soli,275,nmol C2H4 per culture h-1,275,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Pseudomonas sp,178.9±16.69,pmol C2H4 /mg of protein/ h,0.1789,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Pseudomonas sp,310.5±14.15,pmol C2H4 /mg of protein/ h,0.3105,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Pseudomonas sp,20.6 ± 1.7/32.5 ± 2.7/21.9 ± 1.3/6.3 ± 0.9/8.4 ± 1.3/5.9 + 1,nmol C2H4 h−1 mg−1 protein,15.933,nmol/mg/h,"Yasmin, S., Rahman Bakar, M. A., Malik, K. A., & Hafeez, F. Y. (2004). Isolation, characterization and beneficial effects of rice associated plant growth promoting bacteria from Zanzibar soils. Journal of Basic Microbiology: An International Journal on Biochemistry, Physiology, Genetics, Morphology, and Ecology of Microorganisms, 44(3), 241-252."
Pseudomonas sp.,506±4.5/260±8.2,nmol of ethylene /h/vial,383,nmol/tube/h,"Rajput, L. (2014). Biochemical and Molecular Characterization of Salinity Tolerant PGPR Strains (Doctoral dissertation, Quaid-i-Azam University, Islamabad.)."
Pseudomonas sp.,21.8 ± 0.2/3209.5 ± 1.42/157 ± 0.58/72.2 ± 0.37/35.6 ± 0.2/143.6+0.53/303.7 ± 0.79/1228 ± 0.88/360 ± 0.9,n mole C2H 4 produced/h/mg protein,614.6,nmol/mg/h,"Naureen, Z., Yasmin, S., Hameed, S., Malik, K. A., & Hafeez, F. Y. (2005). Characterization and screening of bacteria from rhizosphere of maize grown in Indonesian and Pakistani soils. Journal of Basic Microbiology: An International Journal on Biochemistry, Physiology, Genetics, Morphology, and Ecology of Microorganisms, 45(6), 447-459."
Pseudomonas sp.,132.9±13.22,pmol C2H4 /mg of protein/ h,0.1329,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Pseudomonas sp.,156.1±9.30,pmol C2H4 /mg of protein/ h,0.1561,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Pseudomonas sp.,149.4±11.20,pmol C2H4 /mg of protein/ h,0.1494,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Pseudomonas sp.,25.71/27.08/25.59/28.3/8.49/18.41/18.58,u mol C2H4.h−1.mL−1,21737,nmol/mL/h,"Li, H. B., Singh, R. K., Singh, P., Song, Q. Q., Xing, Y. X., Yang, L. T., & Li, Y. R. (2017). Genetic diversity of nitrogen-fixing and plant growth promoting Pseudomonas species isolated from sugarcane rhizosphere. Frontiers in Microbiology, 8, 1268."
Pseudomonas sp.,1.3,u mol C2H4.h−1.mg−1,1300,nmol/mg/h,"Sharma, S., Kulkarni, J., & Jha, B. (2016). Halotolerant rhizobacteria promote growth and enhance salinity tolerance in peanut. Frontiers in microbiology, 7, 1600."
Pseudomonas sp.,0/0,"n moles
of C2H4 mg-1
of cells h-1",0,nmol/mg/h,"Kumar, K., & Kannaiyan, S. (2006). Molecular characterization of nif genes of heterotrophic and endophytic diazotrophs in rice."
Pseudomonas sp.,23.4 ± 0.5,nmol/h/vial,23.4,nmol/tube/h,"Hafeez, F. Y., Yasmin, S., Ariani, D., Renseigné, N., Zafar, Y., & Malik, K. A. (2006). Plant growth-promoting bacteria as biofertilizer. Agronomy for sustainable development, 26(2), 143-150."
Pseudomonas sp.,506/260/391/0/0/112/0,(nmol C2H4 h−1 vial−1),181.714,nmol/tube/h,"Yao, T., Yasmin, S., & Hafeez, F. Y. (2008). Potential role of rhizobacteria isolated from Northwestern China for enhancing wheat and oat yield. The Journal of Agricultural Science, 146(1), 49-56."
Pseudomonas sp.,2194.89,nmoles  of  ethylene  mg  of  protein-1h-1,2194.89,nmol/mg/h,"Kanimoli, S., & Kumar, K. (2016). Studies on nitrogenase activity of diazotrophic isolates from different rice production systems. Journal of Applied and Natural Science, 8(1), 284-289."
Pseudomonas sp. 4CH,20.0 ± 0.2 ,nmol C2H4 h−1 mL−1,20.0 ± 0.2 ,nmol/mL/h,"Nazarov, A., Chetverikov, S., Chetverikova, D., Tuktarova, I., Ivanov, R., Urazgildin, R., ... & Kudoyarova, G. (2023). Microbial preparations combined with humic substances improve the quality of tree planting material needed for reforestation to increase carbon sequestration. Sustainability, 15(9), 7709."
Pseudomonas sp. AB_13 ( JQ033386) ,9.78,"nmol Ethylene
mg Protein−1 hr−1",9.78,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Pseudomonas sp. AF-54,44.28,nmoles mg-1 protein h-1,44.28,nmol/mg/h,"Majeed, A., Abbasi, M. K., Hameed, S., Yasmin, S., Hanif, M. K., Naqqash, T., & Imran, A. (2018). Pseudomonas sp. AF-54 containing multiple plant beneficial traits acts as growth enhancer of Helianthus annuus L. under reduced fertilizer input. Microbiological research, 216, 56-69."
Pseudomonas sp. AF-54,44.28,nmoles mg-1 protein h−1,44.28,nmol/mg/h,"Majeed, A., Abbasi, M. K., Hameed, S., Yasmin, S., Hanif, M. K., Naqqash, T., & Imran, A. (2018). Pseudomonas sp. AF-54 containing multiple plant beneficial traits acts as growth enhancer of Helianthus annuus L. under reduced fertilizer input. Microbiological research, 216, 56-69."
Pseudomonas sp. MR11,67 ± 3,nmol h−1mg−1 protein,67,nmol/mg/h,"Rasul, M., Yasmin, S., Zubair, M., Mahreen, N., Yousaf, S., Arif, M., ... & Mirza, M. S. (2019). Phosphate solubilizers as antagonists for bacterial leaf blight with improved rice growth in phosphorus deficit soil. Biological Control, 136, 103997."
Pseudomonas sp. MR34,84 ± 4,nmol h−1mg−1 protein,84,nmol/mg/h,"Rasul, M., Yasmin, S., Zubair, M., Mahreen, N., Yousaf, S., Arif, M., ... & Mirza, M. S. (2019). Phosphate solubilizers as antagonists for bacterial leaf blight with improved rice growth in phosphorus deficit soil. Biological Control, 136, 103997."
Pseudomonas sp. MR7,56±8,"n mol C2H4
released h-1 mg-1
protein",56,nmol/mg/h,"Rasul, M., Yasmin, S., Suleman, M., Zaheer, A., Reitz, T., Tarkka, M. T., ... & Mirza, M. S. (2019). Glucose dehydrogenase gene containing phosphobacteria for biofortification of Phosphorus with growth promotion of rice. Microbiological research, 223, 1-12."
Pseudomonas sp. P-13,8.05±0.56,(nmol/mg protein h,8.05,nmol/mg/h,"Niu, X. B., Yang, H., Sun, J. G., Chen, Q., Wang, Y. J., Xu, B. L., ... & Gao, M. (2018). Characterizations of three diazotrophic Paenibacillus spp. and their effect on Chinese pakchoi yield and soil enzyme activities. Acta Microbiologica Sinica, 58(7), 1213-1122."
Pseudomonas sp. R21,1161.9,nmol C2H4 mg−1 protein h−1,1161.9,nmol/mg/h,"Li, Y., Yang, R., Khan, A., Soleimani, M., Guo, L., Sun, X., ... & Sun, W. (2024). Keystone rhizospheric diazotrophs may promote the pioneer plant growth in mine tailings. Soil Security, 16, 100140."
Pseudomonas sp. SUT19 (HM446471),0.08±0.07, nmol ethylene mg−1 protein h−1,13.849,nmol/mg/h,"Piromyou, P., Noisangiam, R., Uchiyama, H., Tittabutr, P., Boonkerd, N., & Teaumroong, N. (2013). Indigenous microbial community structure in rhizosphere of Chinese kale as affected by plant growth-promoting rhizobacteria inoculation. Pedosphere, 23(5), 577-592."
Pseudomonas sp. VI-71; FN377741.1,9.3 ± 2.9,nmol eth h−1 mg−1 protein,9.3 ,nmol/mg/h,"Venieraki, A., Dimou, M., Pergalis, P., Kefalogianni, I., Chatzipavlidis, I., & Katinakis, P. (2011). The genetic diversity of culturable nitrogen-fixing bacteria in the rhizosphere of wheat. Microbial ecology, 61, 277-285."
Pseudomonas sp. VI-71; FN377741.1,6.6 ± 3.1,nmol eth h−1 mg−1 protein,6.6 ,nmol/mg/h,"Venieraki, A., Dimou, M., Pergalis, P., Kefalogianni, I., Chatzipavlidis, I., & Katinakis, P. (2011). The genetic diversity of culturable nitrogen-fixing bacteria in the rhizosphere of wheat. Microbial ecology, 61, 277-285."
Pseudomonas sp. VI-71; FN377741.1,30.1 ± 2.3,nmol eth h−1 mg−1 protein,30.1 ,nmol/mg/h,"Venieraki, A., Dimou, M., Pergalis, P., Kefalogianni, I., Chatzipavlidis, I., & Katinakis, P. (2011). The genetic diversity of culturable nitrogen-fixing bacteria in the rhizosphere of wheat. Microbial ecology, 61, 277-285."
Pseudomonas sp. VI-71; FN377741.1,11.4 ± 3.5,nmol eth h−1 mg−1 protein,11.4 ,nmol/mg/h,"Venieraki, A., Dimou, M., Pergalis, P., Kefalogianni, I., Chatzipavlidis, I., & Katinakis, P. (2011). The genetic diversity of culturable nitrogen-fixing bacteria in the rhizosphere of wheat. Microbial ecology, 61, 277-285."
Pseudomonas sp. VI-71; FN377741.1,29.8 ± 0.3,nmol eth h−1 mg−1 protein,29.8 ,nmol/mg/h,"Venieraki, A., Dimou, M., Pergalis, P., Kefalogianni, I., Chatzipavlidis, I., & Katinakis, P. (2011). The genetic diversity of culturable nitrogen-fixing bacteria in the rhizosphere of wheat. Microbial ecology, 61, 277-285."
Pseudomonas sp. VI-71; FN377741.1,10.2 ± 3.1,nmol eth h−1 mg−1 protein,10.2 ,nmol/mg/h,"Venieraki, A., Dimou, M., Pergalis, P., Kefalogianni, I., Chatzipavlidis, I., & Katinakis, P. (2011). The genetic diversity of culturable nitrogen-fixing bacteria in the rhizosphere of wheat. Microbial ecology, 61, 277-285."
Pseudomonas sp. BWDY-42,6123.88,nmol C2H4 h−1tube−1,6123.88,nmol/tube/h,"Prakamhang, J., Minamisawa, K., Teamtaisong, K., Boonkerd, N., & Teaumroong, N. (2009). The communities of endophytic diazotrophic bacteria in cultivated rice (Oryza sativa L.). Applied Soil Ecology, 42(2), 141-149."
Pseudomonas sp.EF540467,0,nmole C2H4 mg−1 protein h−1,0,nmol/mg/h,"Naqqash, T., Hameed, S., Imran, A., Hanif, M. K., Majeed, A., & van Elsas, J. D. (2016). Differential response of potato toward inoculation with taxonomically diverse plant growth promoting rhizobacteria. Frontiers in plant science, 7, 144."
Pseudomonas stutzeri A1501,1570.2,nmole ethylene/h/mg proteins,1570.2,nmol/mg/h,"Alam, K. M., Yan, Y., Lin, M., Islam, M. A., Gaber, A., & Hossain, A. (2022). Insight rifampicin-resistant (rpoB) mutation in Pseudomonas stutzeri leads to enhance the biosynthesis of secondary metabolites to survive against harsh environments. Archives of Microbiology, 204(7), 437."
Pseudomonas stutzeri A1501,0.15,nmoles ethylene produced h− 1ml-1,0.15,nmol/mL/h,"Venado, R. E., Wilker, J., Pankievicz, V., Infante, V., MacIntyre, A., Wolf, E. S., ... & Ané, J. M. (2023). Mucilage Produced by Sorghum (Sorghum bicolor) Aerial Roots Hosts Diazotrophs that Provide Significant Amounts of Nitrogen to the Plant. BioRxiv, 2023-08."
Pseudomonas taiwanensis,358,nmol C2H4 per culture h-1,358,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Pseudomonas taiwanensis,26.04/23.83,u mol C2H4.h−1.mL−1,24935,nmol/mL/h,"Li, H. B., Singh, R. K., Singh, P., Song, Q. Q., Xing, Y. X., Yang, L. T., & Li, Y. R. (2017). Genetic diversity of nitrogen-fixing and plant growth promoting Pseudomonas species isolated from sugarcane rhizosphere. Frontiers in Microbiology, 8, 1268."
Pseudomonas taiwanensis,12.215 ± 0.221,nmoL C2H4 mg Protein h−1,12.215,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Pseudomonas taiwanensis BCRC17751,0.45, u mol ethylene mg−1 h−1,450,nmol/mg/h,"S Zawoznik, M., C Vázquez, S., Díaz Herrera, S. M., & D Groppa, M. (2014). Search for endophytic diazotrophs in barley seeds. Brazilian Journal of Microbiology, 45, 621-625."
Pseudomonas taiwanensis BCRC17751,0.6, u mol ethylene mg−1 h−1,600,nmol/mg/h,"S Zawoznik, M., C Vázquez, S., Díaz Herrera, S. M., & D Groppa, M. (2014). Search for endophytic diazotrophs in barley seeds. Brazilian Journal of Microbiology, 45, 621-625."
Pseudomonas taiwanensis BCRC17751,0.53, u mol ethylene mg−1 h−1,530,nmol/mg/h,"S Zawoznik, M., C Vázquez, S., Díaz Herrera, S. M., & D Groppa, M. (2014). Search for endophytic diazotrophs in barley seeds. Brazilian Journal of Microbiology, 45, 621-625."
Pseudomonas trivialis,19.45,nmoles C2H4 mg−1 protein h−1,19.45,nmol/mg/h,"Devi, R., Kaur, T., Negi, R., Kour, D., Chaubey, K. K., & Yadav, A. N. (2023). Indigenous plant growth-promoting rhizospheric and endophytic bacteria as liquid bioinoculants for growth of sweet pepper (Capsicum annuum L.). Biologia, 78(9), 2623-2633."
Pseudomonas umsongensis DSM 16611 (NIWU01000003),69.94,nmol C2H4/(mg·h),69.94,nmol/mg/h,"Li, Q., Yang, X., Li, J., Li, M., Li, C., & Yao, T. (2023). In-depth characterization of phytase-producing plant growth promotion bacteria isolated in alpine grassland of Qinghai-Tibetan Plateau. Frontiers in Microbiology, 13, 1019383."
Pseudomonas vancouverensis ATCC 700688 (AJ011507),77.66,nmol C2H4/(mg·h),77.66,nmol/mg/h,"Li, Q., Yang, X., Li, J., Li, M., Li, C., & Yao, T. (2023). In-depth characterization of phytase-producing plant growth promotion bacteria isolated in alpine grassland of Qinghai-Tibetan Plateau. Frontiers in Microbiology, 13, 1019383."
Pseudomonas sp.,54 ± 1,C2H4 nmol/mL·h,54 ,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Pseudomonas sp.,53 ± 1,C2H4 nmol/mL·h,53 ,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Pseudomonas sp.,17.243 ± 0.312,nmoL C2H4 mg Protein h−1,17.243,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Pseudophormidium sp. 1MC (LEGE 11386),4.61,"nmol C2H4 µg chlorophyll a
-1h
-1",4.61,nmoles/μg Chl a/h,"Vivas, J. M. Z. (2013). N2 Fixation by Marine Sponge Associated Cyanobacteria from the Portuguese Coast (Master's thesis, Universidade do Porto (Portugal))."
Pseudoxanthomonas indica,0,nmole C2H4/tube/24 h,0,nmol/tube/h,"Ouyabe, M., Kikuno, H., Tanaka, N., Babil, P., & Shiwachi, H. (2019). Isolation and identification of nitrogen-fixing bacteria associated with Dioscorea alata L. and Dioscorea esculenta L. Microb Resour Syst, 35, 3-11."
Pseudoxanthomonas mexicana strain NBRC 101034,100,nmole C2H4 mg−1 protein h−1,100,nmol/mg/h,"Youseif, S. H. (2018). Genetic diversity of plant growth promoting rhizobacteria and their effects on the growth of maize plants under greenhouse conditions. Annals of Agricultural Sciences, 63(1), 25-35."
Psychrobacillus psychrodurans,146,nmolethylene24h-1ml-1,6.083333333,nmol/mL/h,"Xu, J. (2014). Isolation and assessment of nitrogen-fixing and phosphate-solubilizing bacteria for use as biofertilizers (Doctoral dissertation, Auburn University)."
Ralstonia insidiosa,2.8±0.2,nmol C2H4 h−1 10−6 cells,2.8,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Raoultella planticola,0,μmol C2H4 h−1 g−1 dry nodules,0,nmol/g nodule/h,"Tsigie, A., Tilak, K. V., & Saxena, A. K. (2011). Field response of legumes to inoculation with plant growth-promoting rhizobacteria. Biology and Fertility of Soils, 47, 971-974."
Raoultella planticola ATCC 33531T (FJ971885),83.17 ± 2.72,nmol h−1 per mg Cell Protein,83.17,nmol/mg/h,"Wiriya, J., Rangjaroen, C., Teaumroong, N., Sungthong, R., & Lumyong, S. (2020). Rhizobacteria and arbuscular mycorrhizal fungi of oil crops (physic nut and sacha inchi): A cultivable-based assessment for abundance, diversity, and plant growth-promoting potentials. Plants, 9(12), 1773."
Raoultella terrigena,1.73,nmol/mL/h,1.73,nmol/mL/h,"Kumar, S. B., Kalwasińska, A., Świątczak, J., Brzezinska, M. S., & Kęsy, J. (2024). Characterization of salt-tolerant diazotrophs with plant growth-promoting potential isolated from soda industry-affected technosoils. Plant and Soil, 1-14."
Raoultella terrigena DR-E5,103.8 ± 4.6,nmol of ethylene h−1,103.8 ± 4.6,nmol/tube/h,"Morales-Jiménez, J., Vera-Ponce de León, A., García-Domínguez, A., Martínez-Romero, E., Zúñiga, G., & Hernández-Rodríguez, C. (2013). Nitrogen-fixing and uricolytic bacteria associated with the gut of Dendroctonus rhizophagus and Dendroctonus valens (Curculionidae: Scolytinae). Microbial ecology, 66, 200-210."
Raoultella terrigena E6,465.6±31.4,nmol ethylene mg protein−1 h−1,465.6,nmol/mg/h,"Zlotnikov, A. K., Shapovalova, Y. N., & Makarov, A. A. (2001). Association of Bacillus firmus E3 and Klebsiella terrigena E6 with increased ability for nitrogen fixation. Soil Biology and Biochemistry, 33(11), 1525-1530."
Rathayibacter tritici,8.50 ± 0.50,nmol mg–1 protein h–1,8.5,nmol/mg/h,"Poonguzhali, S., Madhaiyan, M., & Sa, T. (2006). Cultivation-dependent characterization of rhizobacterial communities from field grown Chinese cabbage Brassica campestris ssp pekinensis and screening of traits for potential plant growth promotion. Plant and soil, 286, 167-180."
Rheinheimera aquimaris CEW W8,60,"nmol 
C2H4/mg protein/day",2.5,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Rhizobium (Agrobacterium) IRBG74,18.57 ± 6.77,μmol C2H4 per plant h−1,18570,nmol/plant/h,"Cummings, S. P., Gyaneshwar, P., Vinuesa, P., Farruggia, F. T., Andrews, M., Humphry, D., ... & James, E. K. (2009). Nodulation of Sesbania species by Rhizobium (Agrobacterium) strain IRBG74 and other rhizobia. Environmental Microbiology, 11(10), 2510-2525."
Rhizobium borbori,1.5±0.4,nmol C2H4 h−1 10−6 cells,1.5,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium borbori,1.7±0.2,nmol C2H4 h−1 10−6 cells,1.7,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium cellulosilyticum,0,μmol/vial.h,0,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Rhizobium daejeonense,944.0 ± 74.0,nmol tube−1,944,nmol/tube/h,"Habibi, S., Yokoyama, T., Haidari, M. D., Torii, A., Yasuda, M., & Ohkama-Ohtsu, N. (2023). Analyzing single and combined cultures of plant growth-promoting rhizobacteria isolates from afghanistan as a potential biofertilizer for rice growth and development. Agriculture, 13(12), 2252."
Rhizobium daejeonense,712,nmol C2H4 per culture h-1,712,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Rhizobium daejeonense,2.5,nmol ethylene ml−1 h−1,2.5,nmol/mL/h,"Thu, N. T. H., Son, T. C., Trang, D. T., Le, N. T. M., Toi, N. D., Van, N. T., & Hang, D. T. (2022). Indigenous diazotrophs and their effective properties for organic agriculture. Vietnam Journal of Biotechnology, 20(4), 751-760."
Rhizobium daejeonense,4,nmol ethylene ml−1 h−1,4,nmol/mL/h,"Thu, N. T. H., Son, T. C., Trang, D. T., Le, N. T. M., Toi, N. D., Van, N. T., & Hang, D. T. (2022). Indigenous diazotrophs and their effective properties for organic agriculture. Vietnam Journal of Biotechnology, 20(4), 751-760."
